label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
0,35.6497271,139.5025968,107.100829,0,0,0,0,1,-1
1,35.6497169,139.5026376,106.554694,0,0,0,0,1,-1
2,35.6497069,139.502679,96.706770,0,0,0,0,1,-1
3,35.6497026,139.502724,102.554030,0,0,0,0,1,-1
4,35.649695,139.502766,96.595758,0,0,1,0,1,-1
5,35.6496908,139.5028107,98.977691,0,0,0,0,1,-1
6,35.6496851,139.5028551,101.342218,0,0,0,0,1,-1
7,35.6496777,139.5029005,101.484405,0,0,0,0,1,-1
8,35.6496707,139.5029429,113.994764,0,0,0,0,1,-1
9,35.6496622,139.5029664,175.328535,0,0,0,0,1,-1
10,35.6496264,139.50297,178.049984,0,0,0,0,1,-1
11,35.6495906,139.5029715,180.261562,0,0,0,0,1,-1
12,35.6495728,139.5029714,221.928068,0,0,0,0,1,-1
13,35.6495709,139.5029693,241.323838,0,0,1,0,1,1
14,35.6495705,139.5029684,272.818105,0,0,0,0,1,-1
15,35.6495706,139.5029659,272.114330,0,0,0,0,1,-1
16,35.6495712,139.5029459,280.906953,0,0,0,0,1,-1
17,35.6495756,139.5029178,272.585750,0,0,0,0,1,-1
18,35.649576,139.5029069,279.970895,0,0,0,0,1,-1
19,35.6495766,139.5029027,274.321321,0,0,0,0,1,-1
20,35.6495773,139.5028913,283.232745,0,0,0,0,1,-1
21,35.6495803,139.5028756,216.965365,0,0,0,0,1,-1
22,35.6495505,139.502848,221.811473,0,0,0,0,1,-1
23,35.6495237,139.5028185,237.713206,0,0,0,0,1,-1
24,35.6495046,139.5027813,264.752824,0,0,0,0,1,-1
25,35.6495041,139.5027746,279.818147,0,0,0,0,1,-1
26,35.649505,139.5027682,274.348958,0,0,0,0,1,-1
27,35.6495061,139.5027504,296.596871,0,0,0,0,1,-1
28,35.6495227,139.5027096,322.890463,0,0,0,0,1,-1
29,35.6495517,139.5026826,347.527349,0,0,0,0,1,-1
30,35.6495866,139.5026731,357.628954,0,0,0,0,1,-1
31,35.6496023,139.5026723,290.728542,0,0,0,0,1,-1
32,35.6496158,139.5026284,278.263233,0,0,0,0,1,-1
33,35.6496177,139.5026123,271.708820,0,0,0,0,1,-1
34,35.6496181,139.5025958,282.808160,0,0,0,0,1,-1
35,35.6496227,139.5025709,271.484085,0,0,0,0,1,-1
36,35.6496231,139.5025519,287.167073,0,0,0,0,1,-1
37,35.6496292,139.5025276,268.633803,0,0,0,0,1,-1
38,35.6496287,139.5025018,306.209468,0,0,0,0,1,-1
39,35.6496334,139.5024939,5.215385,0,0,0,0,1,-1
40,35.6496699,139.502498,14.248301,0,0,0,0,1,-1
41,35.6497051,139.502509,45.580416,0,0,0,0,1,-1
42,35.6497223,139.5025306,85.411377,0,0,0,0,1,-1
43,35.6497235,139.502549,85.411377,0,0,0,0,1,1
