label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C3,35.6496953,139.502871,90.000000,1.5,1.5,0,0,1
C3-C1_1,35.6496953,139.5028713,264.976513,1.5,1.5,0,0,1
C3-C1_2,35.6496952,139.5028699,283.827088,1.5,1.5,0,0,1
C3-C1_3,35.6496955,139.5028684,278.208249,1.5,1.5,0,0,1
C3-C1_4,35.6496987,139.5028411,281.094286,1.5,1.5,0,0,1
C3-C1_5,35.6497016,139.5028229,277.458603,1.5,1.5,0,0,1
C3-C1_6,35.6497021,139.5028182,281.912685,1.5,1.5,0,0,1
C3-C1_7,35.6497045,139.5028042,267.390342,1.5,1.5,0,0,1
C3-C1_8,35.6497042,139.5027961,279.080307,1.5,1.5,0,0,1
C3-C1_9,35.6497082,139.5027653,276.791527,1.5,1.5,0,0,1
C3-C1_10,35.6497097,139.5027498,284.918434,1.5,1.5,0,0,1
C3-C1_11,35.6497118,139.5027401,276.805124,1.5,1.5,0,0,1
C3-C1_12,35.649715,139.5027071,282.811103,1.5,1.5,0,0,1
C1,35.6497201,139.5026795,282.811103,1.5,1.5,0,0,1
