label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
0,35.6497354,139.5025299,95.641858,1.5,1.5,0,0,1,0
1,35.6497319,139.5025735,100.235355,1.5,1.5,0,0,1,-1
2,35.6497254,139.5026178,98.864134,1.5,1.5,0,0,1,-1
3,35.6497199,139.5026612,93.994059,1.5,1.5,0,0,1,-1
4,35.6497191,139.5026753,32.008403,1.5,1.5,0,0,1,1
5,35.6497204,139.5026763,23.988703,1.5,1.5,0,0,1,-1
6,35.649754,139.5026947,41.686843,1.5,1.5,0,0,1,-1
7,35.6497811,139.5027244,74.826120,1.5,1.5,0,0,1,-1
8,35.6497904,139.5027666,90.000000,1.5,1.5,0,0,1,2
9,35.6497904,139.5027668,103.919390,1.5,1.5,0,0,1,-1
10,35.6497817,139.50281,117.926620,1.5,1.5,0,0,1,-1
11,35.6497646,139.5028497,149.983879,1.5,1.5,0,0,1,-1
12,35.6497345,139.5028711,179.617335,1.5,1.5,0,0,1,-1
13,35.649698,139.5028714,186.864491,1.5,1.5,0,0,1,-1
14,35.6496953,139.502871,90.000000,1.5,1.5,0,0,1,3
15,35.6496953,139.5028713,264.976513,1.5,1.5,0,0,1,-1
16,35.6496952,139.5028699,283.827088,1.5,1.5,0,0,1,-1
17,35.6496955,139.5028684,278.208249,1.5,1.5,0,0,1,-1
18,35.6496987,139.5028411,281.094286,1.5,1.5,0,0,1,-1
19,35.6497016,139.5028229,277.458603,1.5,1.5,0,0,1,-1
20,35.6497021,139.5028182,281.912685,1.5,1.5,0,0,1,-1
21,35.6497045,139.5028042,267.390342,1.5,1.5,0,0,1,-1
22,35.6497042,139.5027961,279.080307,1.5,1.5,0,0,1,-1
23,35.6497082,139.5027653,276.791527,1.5,1.5,0,0,1,-1
24,35.6497097,139.5027498,284.918434,1.5,1.5,0,0,1,-1
25,35.6497118,139.5027401,276.805124,1.5,1.5,0,0,1,-1
26,35.649715,139.5027071,282.811103,1.5,1.5,0,0,1,-1
27,35.6497201,139.5026795,320.902852,1.5,1.5,0,0,1,1
28,35.6497202,139.5026794,180.000000,1.5,1.5,0,0,1,-1
29,35.64972,139.5026794,193.500343,1.5,1.5,0,0,1,-1
30,35.6496848,139.502669,188.428714,1.5,1.5,0,0,1,-1
31,35.6496508,139.5026628,194.549336,1.5,1.5,0,0,1,-1
32,35.6496245,139.5026544,181.767477,1.5,1.5,0,0,1,7
33,35.6496166,139.5026541,178.974030,1.5,1.5,0,0,1,-1
