label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
S1,28371.271650,44494.868413,-222.601668,0.000000000,0.000000000,-0.043822934,0.999039314,5,5,0,0,0
S1-S2_1,28376.388392,44494.437162,-222.621386,0.000000000,0.000000000,-0.043822934,0.999039314,10,10,0,0,0
S1-S2_2,28381.505135,44494.005915,-222.641109,0.000000000,0.000000000,-0.043822934,0.999039314,10,10,0,0,0
S1-S2_3,28386.621879,44493.574671,-222.660836,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,0,0,0
S1-S2_4,28391.738623,44493.143429,-222.680566,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,0,0,0
S1-S2_5,28396.855367,44492.712190,-222.700301,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,0,1,0
S1-S2_6,28401.972113,44492.280955,-222.720040,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,0,0,0
S1-S2_7,28407.088858,44491.849722,-222.739784,0.000000000,0.000000000,-0.043822925,0.999039314,5,5,1,0,0
S1-S2_8,28412.205604,44491.418492,-222.759531,0.000000000,0.000000000,-0.043822916,0.999039315,5,5,1,0,0
S1-S2_9,28417.322351,44490.987266,-222.779283,0.000000000,0.000000000,-0.043822916,0.999039315,5,5,0,0,0
S1-S2_10,28422.439098,44490.556042,-222.799038,0.000000000,0.000000000,-0.043822916,0.999039315,5,5,0,0,0
S1-S2_11,28427.555845,44490.124821,-222.818798,0.000000000,0.000000000,-0.043822916,0.999039315,5,5,0,0,0
S1-S2_12,28432.672593,44489.693603,-222.838562,0.000000000,0.000000000,-0.043822907,0.999039315,5,5,0,0,0
S1-S2_13,28437.789342,44489.262388,-222.858330,0.000000000,0.000000000,-0.043822907,0.999039315,5,5,0,0,0
S1-S2_14,28442.906091,44488.831176,-222.878103,0.000000000,0.000000000,-0.043822907,0.999039315,5,5,0,0,0
S1-S2_15,28448.022840,44488.399967,-222.897879,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_16,28453.139590,44487.968761,-222.917660,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_17,28458.256341,44487.537558,-222.937445,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_18,28463.373092,44487.106358,-222.957234,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_19,28468.489843,44486.675161,-222.977027,0.000000000,0.000000000,-0.043822899,0.999039315,5,5,0,0,0
S1-S2_20,28473.606595,44486.243967,-222.996824,0.000000000,0.000000000,-0.043822890,0.999039316,5,5,0,0,0
S1-S2_21,28478.723348,44485.812775,-223.016625,0.000000000,0.000000000,-0.043822890,0.999039316,5,5,0,0,0
S1-S2_22,28483.840101,44485.381587,-223.036431,0.000000000,0.000000000,-0.043822890,0.999039316,5,5,0,0,0
S1-S2_23,28488.956854,44484.950402,-223.056241,0.000000000,0.000000000,-0.043822881,0.999039316,5,5,0,0,0
S1-S2_24,28494.073608,44484.519219,-223.076054,0.000000000,0.000000000,-0.043822881,0.999039316,5,5,0,0,0
S1-S2_25,28499.190362,44484.088040,-223.095872,0.000000000,0.000000000,-0.043822881,0.999039316,5,5,0,0,0
S1-S2_26,28504.307117,44483.656864,-223.115695,0.000000000,0.000000000,-0.043822881,0.999039316,5,5,0,0,0
S1-S2_27,28509.423873,44483.225690,-223.135521,0.000000000,0.000000000,-0.043822873,0.999039316,5,5,0,0,0
S1-S2_28,28514.540629,44482.794519,-223.155351,0.000000000,0.000000000,-0.043822873,0.999039316,5,5,0,0,0
S2,28519.657385,44482.363352,-223.175186,0.000000000,0.000000000,-0.043822873,0.999039316,5,5,0,0,0
