label,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C1,28239.656023,44446.291406,-221.678418,0.000000000,0.000000000,0.163921949,0.986473312,0,0,0,0,0
C1-C102_1,28244.517769,44447.963081,-221.711609,0.000000000,0.000000000,0.163921974,0.986473307,0,0,0,0,0
C1-C102_2,28249.379513,44449.634759,-221.744804,0.000000000,0.000000000,0.163922009,0.986473302,0,0,0,0,0
C1-C102_3,28254.241255,44451.306440,-221.778004,0.000000000,0.000000000,0.163922035,0.986473297,0,0,0,0,0
C1-C102_4,28259.102996,44452.978124,-221.811207,0.000000000,0.000000000,0.163922060,0.986473293,0,0,0,0,0
C1-C102_5,28263.964734,44454.649810,-221.844415,0.000000000,0.000000000,0.163922095,0.986473287,0,0,0,0,0
C1-C102_6,28268.826471,44456.321499,-221.877627,0.000000000,0.000000000,0.163922121,0.986473283,0,0,0,0,0
C1-C102_7,28273.688206,44457.993191,-221.910843,0.000000000,0.000000000,0.163922147,0.986473279,0,0,0,0,0
C1-C102_8,28278.549939,44459.664885,-221.944063,0.000000000,0.000000000,0.163922181,0.986473273,0,0,0,0,0
C1-C102_9,28283.411670,44461.336582,-221.977287,0.000000000,0.000000000,0.163922207,0.986473269,0,0,0,0,0
C1-C102_10,28288.273399,44463.008281,-222.010516,0.000000000,0.000000000,0.163922233,0.986473265,0,0,0,0,0
C1-C102_11,28293.135127,44464.679984,-222.043748,0.000000000,0.000000000,0.163922267,0.986473259,0,0,0,0,0
C1-C102_12,28297.996852,44466.351689,-222.076985,0.000000000,0.000000000,0.163922293,0.986473255,0,0,0,0,0
C1-C102_13,28302.858576,44468.023396,-222.110226,0.000000000,0.000000000,0.163922319,0.986473250,0,0,0,0,0
C1-C102_14,28307.720298,44469.695106,-222.143471,0.000000000,0.000000000,0.163922353,0.986473245,0,0,0,0,0
C1-C102_15,28312.582018,44471.366819,-222.176720,0.000000000,0.000000000,0.163922379,0.986473240,0,0,0,0,0
C1-C102_16,28317.443736,44473.038535,-222.209974,0.000000000,0.000000000,0.163922405,0.986473236,0,0,0,0,0
C1-C102_17,28322.305452,44474.710253,-222.243231,0.000000000,0.000000000,0.163922439,0.986473230,0,0,0,0,0
C1-C102_18,28327.167166,44476.381974,-222.276493,0.000000000,0.000000000,0.163922465,0.986473226,0,0,0,0,0
C1-C102_19,28332.028879,44478.053698,-222.309759,0.000000000,0.000000000,0.163922491,0.986473222,0,0,0,0,0
C1-C102_20,28336.890589,44479.725424,-222.343029,0.000000000,0.000000000,0.163922525,0.986473216,0,0,0,0,0
C1-C102_21,28341.752298,44481.397153,-222.376303,0.000000000,0.000000000,0.163922551,0.986473212,0,0,0,0,0
C1-C102_22,28346.614005,44483.068885,-222.409581,0.000000000,0.000000000,0.163922577,0.986473207,0,0,0,0,0
C1-C102_23,28351.475710,44484.740619,-222.442864,0.000000000,0.000000000,0.163922611,0.986473202,0,0,0,0,0
C1-C102_24,28356.337413,44486.412356,-222.476150,0.000000000,0.000000000,0.163922637,0.986473197,0,0,0,0,0
C1-C102_25,28361.199114,44488.084096,-222.509441,0.000000000,0.000000000,0.163922663,0.986473193,0,0,0,0,0
C1-C102_26,28366.060814,44489.755838,-222.542736,0.000000000,0.000000000,0.163922689,0.986473189,0,0,0,0,0
C102,28370.922511,44491.427583,-222.576035,0.000000000,0.000000000,0.163922689,0.986473189,0,0,0,0,0
