label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node
2000,36.0819119,140.0797884,148.722566,2,2,0,0,1,-1
2001,36.0818817,140.0798111,174.926264,2,2,0,0,1,-1
2002,36.0818462,140.079815,176.531359,2,2,0,0,1,-1
2003,36.0818102,140.0798177,189.816036,2,2,0,0,1,-1
2004,36.0817747,140.0798101,185.928576,2,2,0,0,1,-1
2005,36.0817389,140.0798055,182.972245,2,2,0,0,1,-1
2006,36.0817031,140.0798032,186.918171,2,2,0,0,1,-1
2007,36.0816658,140.0797976,176.622076,2,2,0,0,1,-1
2008,36.0816302,140.0798002,183.689460,2,2,0,0,1,-1
2009,36.0815926,140.0797972,177.491832,2,2,0,0,1,-1
2010,36.0815557,140.0797992,182.606949,2,2,0,0,1,-1
2011,36.0815202,140.0797972,178.408250,2,2,0,0,1,-1
2012,36.0814853,140.0797984,188.323804,2,2,0,0,1,-1
2013,36.0814505,140.0797921,190.700167,2,2,0,0,1,-1
2014,36.081415,140.0797838,183.863317,2,2,0,0,1,-1
2015,36.0813779,140.0797807,179.879098,2,2,0,0,1,-1
2016,36.0813396,140.0797808,182.395886,2,2,0,0,1,-1
2017,36.0813029,140.0797789,185.719069,2,2,0,0,1,-1
2018,36.0812682,140.0797746,186.300366,2,2,0,0,1,-1
2019,36.0812316,140.0797696,188.023673,2,2,0,0,1,-1
2020,36.0811972,140.0797636,182.415613,2,2,0,0,1,-1
2021,36.0811608,140.0797617,184.939474,2,2,0,0,1,-1
2022,36.0811262,140.079758,184.117815,2,2,0,0,1,-1
2023,36.0810914,140.0797549,185.386392,2,2,0,0,1,-1
2024,36.0810554,140.0797507,192.000042,2,2,0,0,1,-1
2025,36.0810208,140.0797416,180.273996,2,2,0,0,1,-1
2026,36.080987,140.0797414,182.161599,2,2,0,0,1,-1
2027,36.0809506,140.0797397,178.616133,2,2,0,0,1,-1
2028,36.0809138,140.0797408,171.431200,2,2,0,0,1,-1
2029,36.0808784,140.0797474,171.488051,2,2,0,0,1,-1
2030,36.080846,140.0797534,170.237778,2,2,0,0,1,-1
2031,36.0808103,140.079761,169.048074,2,2,0,0,1,-1
2032,36.0807748,140.0797695,165.177696,2,2,0,0,1,-1
2033,36.0807409,140.0797806,154.369165,2,2,0,0,1,-1
2034,36.0807094,140.0797993,155.980493,2,2,0,0,1,-1
2035,36.0806773,140.079817,155.873262,2,2,0,0,1,-1
2036,36.080645,140.0798349,155.413089,2,2,0,0,1,-1
2037,36.0806125,140.0798533,148.030975,2,2,0,0,1,-1
2038,36.0805844,140.079875,130.106794,2,2,0,0,1,-1
2039,36.0805618,140.0799082,89.001582,2,2,0,0,1,-1
2040,36.0805624,140.0799508,72.811406,2,2,0,0,1,-1
2041,36.0805734,140.0799948,73.145138,2,2,0,0,1,-1
2042,36.0805841,140.0800385,72.883966,2,2,0,0,1,-1
2043,36.0805952,140.0800831,74.307783,2,2,0,0,1,-1
2044,36.0806046,140.0801245,75.037757,2,2,0,0,1,-1
2045,36.0806146,140.0801708,73.885673,2,2,0,0,1,-1
2046,36.0806245,140.0802132,72.405124,2,2,0,0,1,-1
2047,36.0806357,140.0802569,72.065574,2,2,0,0,1,-1
2048,36.080647,140.0803001,75.128496,2,2,0,0,1,-1
2049,36.0806564,140.0803439,70.979375,2,2,0,0,1,-1
2050,36.0806676,140.0803841,69.257458,2,2,0,0,1,-1
2051,36.0806807,140.0804269,73.005538,2,2,0,0,1,-1
2052,36.080691,140.0804686,74.454318,2,2,0,0,1,-1
2053,36.0807006,140.0805113,73.142080,2,2,0,0,1,-1
2054,36.0807114,140.0805554,71.049534,2,2,0,0,1,-1
2055,36.0807225,140.0805954,69.418335,2,2,0,0,1,-1
2056,36.0807347,140.0806356,32.495570,2,2,0,0,1,-1
2057,36.0807465,140.0806449,0.661481,2,2,0,0,1,-1
2058,36.0807815,140.0806454,348.119447,2,2,0,0,1,-1
2059,36.0808203,140.0806353,347.513237,2,2,0,0,1,-1
2060,36.0808557,140.0806256,339.288452,2,2,0,0,1,-1
2061,36.0808899,140.0806096,334.724910,2,2,0,0,1,-1
2062,36.0809178,140.0805933,316.683878,2,2,0,0,1,-1
2063,36.080919,140.0805919,323.409683,2,2,0,0,1,-1
2064,36.0809276,140.080584,316.212534,2,2,0,0,1,-1
2065,36.0809534,140.0805534,306.215434,2,2,0,0,1,-1
2066,36.080965,140.0805338,328.995881,2,2,0,0,1,-1
2067,36.0809689,140.0805309,314.285426,2,2,0,0,1,-1
2068,36.0809931,140.0805002,314.960593,2,2,0,0,1,-1
2069,36.0810182,140.0804691,308.351086,2,2,0,0,1,-1
2070,36.0810409,140.0804336,312.120234,2,2,0,0,1,-1
2071,36.0810656,140.0803998,314.755038,2,2,0,0,1,-1
2072,36.0810902,140.0803691,307.998430,2,2,0,0,1,-1
2073,36.0811075,140.0803417,326.905245,2,2,0,0,1,-1
2074,36.0811106,140.0803392,313.346028,2,2,0,0,1,-1
2075,36.0811344,140.080308,311.946076,2,2,0,0,1,-1
2076,36.0811413,140.0802985,333.493614,2,2,0,0,1,-1
2077,36.0811729,140.080279,345.417524,2,2,0,0,1,-1
2078,36.0812108,140.0802668,350.943716,2,2,0,0,1,-1
2079,36.0812468,140.0802597,1.600569,2,2,0,0,1,-1
2080,36.0812844,140.080261,8.043854,2,2,0,0,1,-1
2081,36.081321,140.0802674,2.257630,2,2,0,0,1,-1
2082,36.0813579,140.0802692,6.278102,2,2,0,0,1,-1
2083,36.0813961,140.0802744,1.304151,2,2,0,0,1,-1
