label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,,,,,,,,,,,,,,,,
1000,36.082041,140.0810589,5.513787,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1001,36.082077,140.0810632,34.024109,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1002,36.0820934,140.0810769,90.623218,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1003,36.082093,140.0811224,100.814382,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1004,36.0820863,140.0811658,90.932738,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1005,36.0820857,140.0812114,96.283858,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1006,36.0820819,140.0812541,95.158623,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1007,36.0820785,140.0813007,102.426600,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1008,36.0820707,140.0813445,85.827608,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1009,36.0820733,140.0813886,93.379703,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1010,36.0820712,140.0814326,94.236537,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1011,36.0820685,140.0814777,92.827215,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1012,36.0820667,140.0815228,96.004800,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1013,36.0820629,140.0815675,98.691333,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1014,36.0820576,140.0816104,93.861149,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1015,36.0820552,140.0816544,90.315074,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1016,36.082055,140.0816994,99.025998,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1017,36.0820493,140.0817438,86.475020,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1018,36.0820516,140.08179,93.256032,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1019,36.0820496,140.0818335,85.389818,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1020,36.0820525,140.081878,91.183873,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1021,36.0820517,140.0819259,84.088989,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1022,36.0820558,140.0819749,93.932429,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1023,36.0820532,140.0820217,87.178347,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1024,36.0820551,140.0820694,90.443998,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1025,36.0820548,140.0821173,96.363399,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1026,36.0820506,140.0821639,88.190495,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1027,36.0820518,140.0822109,88.654120,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1028,36.0820527,140.0822583,88.909421,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1029,36.0820534,140.0823038,86.149562,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1030,36.082056,140.0823516,93.693747,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1031,36.0820536,140.0823976,87.326633,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1032,36.0820554,140.0824453,86.859220,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1033,36.0820574,140.0824904,95.641395,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1034,36.0820536,140.082538,90.154779,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1035,36.0820535,140.0825838,84.844495,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1036,36.082057,140.0826318,85.421541,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1037,36.0820601,140.0826797,93.408862,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1038,36.0820579,140.0827254,41.772663,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1039,36.0820788,140.0827485,7.183987,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1040,36.0821115,140.0827536,8.000622,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1041,36.0821414,140.0827588,12.687689,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1042,36.0821694,140.0827666,357.703659,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1043,36.0821956,140.0827653,359.775220,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1044,36.0822368,140.0827651,4.990130,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1045,36.0822766,140.0827694,324.858607,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
1046,36.0822952,140.0827532,258.182329,2,2,0,0,1,-1,,,,,,,,,,,,,,,,
