label,latitude,longitude,heading_deg,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C13,36.0812245,140.0809322,247.128929,2,2,0,0,1
C13-C8_1,36.081223,140.0809278,264.112926,2,2,0,0,1
C13-C8_2,36.0812225,140.0809218,273.932402,2,2,0,0,1
C13-C8_3,36.0812228,140.0809164,278.792154,2,2,0,0,1
C13-C8_4,36.081223,140.0809148,274.162928,2,2,0,0,1
C13-C8_5,36.0812231,140.0809131,268.135020,2,2,0,0,1
C13-C8_6,36.0812224,140.0808865,281.328215,2,2,0,0,1
C13-C8_7,36.0812241,140.080876,255.836946,2,2,0,0,1
C13-C8_8,36.081221,140.0808608,281.375709,2,2,0,0,1
C13-C8_9,36.081225,140.0808362,272.200617,2,2,0,0,1
C13-C8_10,36.0812255,140.0808201,287.070574,2,2,0,0,1
C13-C8_11,36.0812289,140.0808064,273.066106,2,2,0,0,1
C13-C8_12,36.0812299,140.0807833,276.931081,2,2,0,0,1
C13-C8_13,36.0812327,140.0807548,278.445644,2,2,0,0,1
C13-C8_14,36.081233,140.0807523,274.094359,2,2,0,0,1
C13-C8_15,36.0812337,140.0807402,278.445645,2,2,0,0,1
C13-C8_16,36.081234,140.0807377,275.289958,2,2,0,0,1
C13-C8_17,36.0812351,140.080723,273.515176,2,2,0,0,1
C13-C8_18,36.0812358,140.0807089,280.409767,2,2,0,0,1
C13-C8_19,36.0812392,140.080686,264.819310,2,2,0,0,1
C13-C8_20,36.0812375,140.0806628,290.365092,2,2,0,0,1
C13-C8_21,36.0812438,140.0806418,265.066101,2,2,0,0,1
C13-C8_22,36.0812432,140.0806332,290.956214,2,2,0,0,1
C13-C8_23,36.0812458,140.0806248,266.087309,2,2,0,0,1
C13-C8_24,36.0812436,140.080585,280.618352,2,2,0,0,1
C13-C8_25,36.0812461,140.0805685,265.484190,2,2,0,0,1
C13-C8_26,36.0812455,140.0805591,278.242531,2,2,0,0,1
C13-C8_27,36.0812503,140.0805181,278.792157,2,2,0,0,1
C13-C8_28,36.0812506,140.0805157,268.351751,2,2,0,0,1
C13-C8_29,36.08125,140.0804899,271.476645,2,2,0,0,1
C13-C8_30,36.0812501,140.0804851,271.211696,2,2,0,0,1
C13-C8_31,36.0812503,140.0804734,277.667824,2,2,0,0,1
C13-C8_32,36.0812545,140.0804348,266.260893,2,2,0,0,1
C13-C8_33,36.081253,140.0804064,286.629275,2,2,0,0,1
C13-C8_34,36.0812579,140.0803861,265.775164,2,2,0,0,1
C13-C8_35,36.0812571,140.0803727,278.605274,2,2,0,0,1
C13-C8_36,36.0812588,140.0803588,271.996227,2,2,0,0,1
C13-C8_37,36.0812592,140.0803446,273.219091,2,2,0,0,1
C13-C8_38,36.0812593,140.0803424,273.522655,2,2,0,0,1
C8,36.0812603,140.0803223,273.522655,2,2,0,0,1
